clientnum,customer_age,dependent_count,gender,income_category,months_on_book,total_relationship_count,months_inactive_12_mon,credit_limit,total_revolving_bal,total_trans_amt,avg_open_to_buy,total_trans_ct,avg_utilization_ratio,status,card_category,education_level,marital_status
712396908,57,2,F,Less than $40K,48,5,2,2436.0,680,1570,1756.0,29,0.279,Existing Customer,Blue,Graduate,Married
714885258,44,4,M,$80K - $120K,37,5,1,4234.0,972,1348,3262.0,27,0.23,Existing Customer,Blue,Unknown,Unknown
709967358,48,4,M,$80K - $120K,36,6,2,30367.0,2362,1671,28005.0,27,0.078,Existing Customer,Blue,Post-Graduate,Single
753327333,41,3,M,$80K - $120K,34,4,4,13535.0,1291,1028,12244.0,21,0.095,Existing Customer,Blue,Unknown,Married
806160108,61,1,M,$40K - $60K,56,2,2,3193.0,2517,1336,676.0,30,0.788,Existing Customer,Blue,High School,Married
709327383,45,2,F,Unknown,37,6,1,14470.0,1157,1207,13313.0,21,0.08,Existing Customer,Blue,Graduate,Married
806165208,47,1,M,$60K - $80K,42,5,2,20979.0,1800,1178,19179.0,27,0.086,Existing Customer,Blue,Doctorate,Divorced
794576058,42,3,M,$80K - $120K,26,1,2,8480.0,1339,4070,7141.0,76,0.158,Existing Customer,Blue,Graduate,Married
779877858,53,2,F,Less than $40K,37,2,3,2081.0,1342,4428,739.0,80,0.645,Existing Customer,Blue,College,Unknown
772334133,53,1,F,Unknown,42,2,1,4637.0,0,4583,4637.0,86,0.0,Existing Customer,Blue,Graduate,Married
714139308,53,3,M,$60K - $80K,42,2,5,1438.3,0,4722,1438.3,81,0.0,Existing Customer,Blue,Uneducated,Married
806634783,38,2,F,Less than $40K,33,1,3,3420.0,1405,4267,2015.0,75,0.411,Existing Customer,Blue,College,Married
720101658,26,0,F,Less than $40K,19,2,1,3416.0,1109,4614,2307.0,70,0.325,Existing Customer,Blue,Graduate,Single
719925483,46,4,M,$80K - $120K,36,2,1,2171.0,1043,4531,1128.0,88,0.48,Existing Customer,Blue,Graduate,Married
719572833,57,3,F,$40K - $60K,46,2,2,2791.0,1550,5440,1241.0,83,0.555,Existing Customer,Blue,Graduate,Unknown
720729108,32,0,F,Less than $40K,17,1,2,4445.0,1080,5373,3365.0,87,0.243,Existing Customer,Blue,Unknown,Single
819214233,43,3,F,Less than $40K,38,2,2,1530.0,0,5138,1530.0,84,0.0,Existing Customer,Blue,Graduate,Married
718896108,48,3,F,Less than $40K,36,2,1,1438.3,0,5014,1438.3,84,0.0,Existing Customer,Blue,High School,Unknown
713723433,52,4,F,Less than $40K,44,1,1,5721.0,0,4188,5721.0,79,0.0,Existing Customer,Blue,High School,Single
708514383,38,2,F,Unknown,29,2,1,3809.0,1172,4314,2637.0,81,0.308,Existing Customer,Blue,College,Married
716961033,48,3,F,Less than $40K,40,1,3,3520.0,2149,3630,1371.0,78,0.611,Existing Customer,Blue,High School,Single
814181433,46,5,M,$40K - $60K,41,1,3,3914.0,1683,4242,2231.0,64,0.43,Existing Customer,Blue,College,Married
711984633,36,3,F,Less than $40K,27,1,2,2328.0,1953,4373,375.0,89,0.839,Existing Customer,Blue,Graduate,Married
710662158,41,4,M,$120K +,34,1,3,34516.0,2517,2051,31999.0,41,0.073,Existing Customer,Blue,Unknown,Married
711356733,45,5,F,Less than $40K,36,2,2,3883.0,847,4667,3036.0,90,0.218,Existing Customer,Blue,Unknown,Single
780727833,51,3,F,Less than $40K,41,1,4,3229.0,2517,4526,712.0,95,0.779,Existing Customer,Blue,High School,Single
771471708,44,2,F,Less than $40K,32,2,1,3080.0,1776,5097,1304.0,77,0.577,Existing Customer,Blue,Graduate,Unknown
714320358,38,2,F,Less than $40K,33,2,1,2569.0,1288,4126,1281.0,56,0.501,Existing Customer,Blue,College,Single
720700008,50,1,F,Less than $40K,36,1,1,4517.0,2238,4686,2279.0,81,0.495,Existing Customer,Blue,High School,Single
778228458,52,3,F,Less than $40K,42,2,3,2510.0,1928,4943,582.0,70,0.768,Existing Customer,Blue,Uneducated,Single
720537633,44,3,F,Less than $40K,36,2,3,3047.0,2139,4961,908.0,85,0.702,Existing Customer,Blue,Doctorate,Married
763681908,34,3,F,Less than $40K,27,1,2,5795.0,924,5674,4871.0,78,0.159,Existing Customer,Blue,Unknown,Married
721164483,46,2,F,$40K - $60K,34,2,1,1441.0,642,4894,799.0,84,0.446,Existing Customer,Blue,College,Married
715447008,50,3,F,Less than $40K,36,2,3,2999.0,1817,5119,1182.0,83,0.606,Existing Customer,Blue,Graduate,Married
769676358,38,2,M,$60K - $80K,32,1,1,1438.3,1309,5066,129.3,76,0.91,Existing Customer,Blue,High School,Single
710487033,44,2,F,$40K - $60K,28,2,3,1438.3,0,4445,1438.3,78,0.0,Existing Customer,Blue,High School,Married
718488783,40,3,M,$40K - $60K,30,2,2,4802.0,1701,4821,3101.0,66,0.354,Existing Customer,Blue,College,Unknown
715663458,51,4,F,Less than $40K,39,2,3,2268.0,651,5016,1617.0,88,0.287,Existing Customer,Blue,Unknown,Married
717865008,51,1,F,$40K - $60K,36,2,1,1438.3,468,4425,970.3,81,0.325,Existing Customer,Blue,Unknown,Married
771400608,56,2,F,Unknown,44,2,1,8204.0,1375,4727,6829.0,76,0.168,Existing Customer,Blue,Graduate,Married
708148158,39,4,F,Unknown,21,2,3,1827.0,0,4207,1827.0,86,0.0,Existing Customer,Blue,Unknown,Married
720589008,47,3,F,Unknown,38,1,3,4072.0,1594,4317,2478.0,83,0.391,Existing Customer,Blue,Doctorate,Unknown
784795083,31,1,F,Less than $40K,25,2,1,1984.0,0,4794,1984.0,73,0.0,Existing Customer,Blue,High School,Divorced
809844108,48,2,M,$60K - $80K,43,2,1,8086.0,0,4775,8086.0,78,0.0,Existing Customer,Blue,Doctorate,Single
711521958,51,2,F,Less than $40K,36,2,2,1588.0,1506,4660,82.0,68,0.948,Existing Customer,Blue,Unknown,Single
711833508,47,2,M,$40K - $60K,27,2,3,1536.0,0,4643,1536.0,89,0.0,Existing Customer,Blue,High School,Single
713146683,35,1,F,Unknown,36,2,3,4460.0,0,5473,4460.0,79,0.0,Existing Customer,Blue,High School,Unknown
716968683,46,5,F,Unknown,38,2,2,11287.0,1513,5157,9774.0,72,0.134,Existing Customer,Blue,High School,Single
771336783,51,3,F,Less than $40K,38,1,3,1759.0,1345,4351,414.0,81,0.765,Existing Customer,Blue,High School,Single
714843483,57,3,F,Unknown,48,1,1,7176.0,1493,5063,5683.0,83,0.208,Existing Customer,Blue,Uneducated,Single
712190358,48,4,F,Less than $40K,29,1,3,1843.0,1802,5199,41.0,73,0.978,Existing Customer,Blue,Uneducated,Married
788805858,49,3,M,$40K - $60K,31,2,3,2181.0,1218,4997,963.0,89,0.558,Existing Customer,Blue,College,Divorced
712533708,43,0,M,$80K - $120K,36,2,2,11247.0,0,4894,11247.0,85,0.0,Existing Customer,Blue,High School,Single
720326733,55,2,M,$120K +,47,2,3,16258.0,865,3761,15393.0,58,0.053,Existing Customer,Blue,Graduate,Single
713605908,49,3,M,$120K +,37,1,1,34516.0,1316,3863,33200.0,69,0.038,Existing Customer,Blue,Graduate,Married
711598533,43,1,M,$60K - $80K,36,1,2,4255.0,1729,3607,2526.0,75,0.406,Existing Customer,Blue,High School,Married
795855258,48,4,F,Less than $40K,42,2,3,1438.3,0,5045,1438.3,82,0.0,Existing Customer,Blue,College,Single
826783233,57,3,F,Less than $40K,53,1,3,3029.0,2214,4750,815.0,89,0.731,Existing Customer,Blue,High School,Single
789228108,56,4,F,Unknown,45,2,2,9091.0,1306,4378,7785.0,86,0.144,Existing Customer,Blue,Graduate,Single
785230083,50,2,M,$60K - $80K,44,1,2,3318.0,2349,4905,969.0,80,0.708,Existing Customer,Blue,Uneducated,Single
711011508,43,3,F,Less than $40K,35,1,3,1620.0,771,4387,849.0,91,0.476,Existing Customer,Blue,Graduate,Single
718632933,58,1,F,Less than $40K,46,1,5,1552.0,0,4731,1552.0,71,0.0,Existing Customer,Blue,College,Single
717284133,53,1,F,Less than $40K,41,1,2,3472.0,2517,4520,955.0,84,0.725,Existing Customer,Blue,High School,Married
711701058,48,4,F,Less than $40K,36,2,2,10973.0,1466,4892,9507.0,94,0.134,Existing Customer,Silver,Graduate,Married
712228458,50,2,M,$120K +,32,2,3,25645.0,1083,4302,24562.0,63,0.042,Existing Customer,Blue,Unknown,Unknown
719028783,42,1,F,Less than $40K,29,2,3,3422.0,0,4486,3422.0,74,0.0,Existing Customer,Blue,Graduate,Married
713274183,45,1,F,Less than $40K,35,1,1,4977.0,1411,4182,3566.0,85,0.284,Existing Customer,Blue,Graduate,Single
789218433,33,3,F,$40K - $60K,22,2,3,1438.3,0,4528,1438.3,86,0.0,Existing Customer,Blue,Unknown,Married
790139583,39,0,F,Less than $40K,32,2,2,1438.3,801,4386,637.3,64,0.557,Existing Customer,Blue,Graduate,Divorced
720218658,40,1,F,Unknown,26,2,3,3369.0,756,4501,2613.0,96,0.224,Existing Customer,Blue,Unknown,Married
747074058,47,3,F,Unknown,40,1,3,7114.0,1637,4758,5477.0,81,0.23,Existing Customer,Blue,Unknown,Single
719170683,38,1,M,$80K - $120K,29,2,2,10972.0,0,4401,10972.0,73,0.0,Existing Customer,Blue,Unknown,Single
708753633,45,3,F,$40K - $60K,32,2,1,1438.3,0,4462,1438.3,77,0.0,Existing Customer,Blue,Doctorate,Married
710780883,48,5,F,$40K - $60K,38,1,2,2446.0,1461,4610,985.0,78,0.597,Existing Customer,Blue,Uneducated,Single
711333933,56,3,F,$40K - $60K,36,2,1,3005.0,1660,4586,1345.0,72,0.552,Existing Customer,Blue,Post-Graduate,Single
710797833,50,5,F,Less than $40K,30,1,3,2033.0,841,4360,1192.0,95,0.414,Existing Customer,Blue,Graduate,Married
720154533,53,4,F,Less than $40K,39,2,3,2415.0,1643,5063,772.0,78,0.68,Existing Customer,Blue,Graduate,Unknown
780942633,49,4,M,Unknown,32,2,1,3519.0,1336,3552,2183.0,68,0.38,Existing Customer,Blue,High School,Married
720034983,26,0,M,Less than $40K,13,2,1,10254.0,0,4258,10254.0,68,0.0,Existing Customer,Silver,Unknown,Unknown
717307158,48,3,F,Less than $40K,36,2,1,1853.0,1314,5331,539.0,79,0.709,Existing Customer,Blue,Unknown,Single
708876183,51,1,M,$60K - $80K,43,2,3,28673.0,0,3722,28673.0,69,0.0,Existing Customer,Silver,High School,Single
715958583,56,2,F,Less than $40K,43,1,2,2041.0,1158,3588,883.0,63,0.567,Existing Customer,Blue,High School,Married
771546708,46,2,F,Less than $40K,34,2,2,1438.3,0,5013,1438.3,81,0.0,Existing Customer,Blue,Graduate,Single
711252258,54,1,F,Less than $40K,36,1,3,1572.0,985,4148,587.0,54,0.627,Existing Customer,Blue,High School,Single
772585008,48,4,F,Unknown,38,2,3,3187.0,1937,5111,1250.0,90,0.608,Existing Customer,Blue,High School,Married
751143858,59,1,F,Unknown,52,2,1,7427.0,2421,4636,5006.0,91,0.326,Existing Customer,Blue,High School,Single
708824958,50,4,F,Less than $40K,42,2,1,1460.0,0,4265,1460.0,63,0.0,Existing Customer,Blue,High School,Single
819612933,52,3,M,$80K - $120K,47,1,3,25410.0,0,5472,25410.0,70,0.0,Existing Customer,Blue,Graduate,Single
712804383,56,0,F,Less than $40K,38,1,1,2143.0,1194,4684,949.0,82,0.557,Existing Customer,Blue,College,Married
790149483,42,3,M,$40K - $60K,35,2,3,8566.0,1484,4195,7082.0,89,0.173,Existing Customer,Blue,Uneducated,Single
712121508,43,3,M,$60K - $80K,30,1,2,1438.3,0,5200,1438.3,89,0.0,Existing Customer,Blue,Uneducated,Single
778853358,59,0,F,Less than $40K,40,1,3,3297.0,0,4783,3297.0,91,0.0,Existing Customer,Blue,College,Single
716512383,39,2,F,Less than $40K,36,1,3,2816.0,2517,4817,299.0,87,0.894,Existing Customer,Blue,High School,Married
713081583,51,4,F,Less than $40K,32,2,2,2350.0,1272,4647,1078.0,86,0.541,Existing Customer,Blue,Unknown,Married
721060083,42,3,F,Unknown,27,1,1,7226.0,1889,4653,5337.0,71,0.261,Existing Customer,Blue,College,Married
713759583,54,3,F,Less than $40K,36,1,1,3173.0,1822,4883,1351.0,71,0.574,Existing Customer,Blue,High School,Married
717547383,43,2,F,Less than $40K,32,2,3,2890.0,1392,4233,1498.0,77,0.482,Existing Customer,Blue,Graduate,Married
710044308,40,4,F,$40K - $60K,27,2,2,2625.0,1594,2480,1031.0,47,0.607,Existing Customer,Blue,Graduate,Single
713101383,44,2,F,$40K - $60K,36,1,1,1834.0,0,5402,1834.0,87,0.0,Existing Customer,Blue,Unknown,Married
757685733,43,2,F,Less than $40K,36,1,2,3226.0,2145,5066,1081.0,75,0.665,Existing Customer,Blue,Graduate,Single
717823383,56,4,M,$60K - $80K,47,1,1,3426.0,1841,4268,1585.0,81,0.537,Existing Customer,Blue,Unknown,Married
796029483,49,3,F,Less than $40K,43,2,3,2174.0,785,3890,1389.0,78,0.361,Existing Customer,Blue,Graduate,Married
710099358,60,1,F,$40K - $60K,36,2,3,3959.0,0,4935,3959.0,92,0.0,Existing Customer,Blue,Unknown,Single
713872008,49,1,F,Less than $40K,42,1,3,2215.0,1347,4656,868.0,72,0.608,Existing Customer,Blue,High School,Married
788802483,47,3,F,Less than $40K,29,2,2,2814.0,1595,4766,1219.0,87,0.567,Existing Customer,Blue,Uneducated,Unknown
817988433,56,3,M,$60K - $80K,51,2,2,6941.0,1013,4097,5928.0,78,0.146,Existing Customer,Blue,Unknown,Single
823554783,44,3,F,Unknown,40,2,1,3269.0,0,5022,3269.0,85,0.0,Existing Customer,Blue,College,Single
710643183,42,2,F,Less than $40K,23,2,2,3172.0,1160,4163,2012.0,83,0.366,Existing Customer,Blue,High School,Single
798238008,36,2,F,Less than $40K,30,2,1,5070.0,0,4644,5070.0,85,0.0,Existing Customer,Blue,Uneducated,Married
811974483,56,2,M,$40K - $60K,51,1,3,1466.0,723,5110,743.0,86,0.493,Existing Customer,Blue,Graduate,Single
778471758,52,2,F,Less than $40K,37,1,3,2427.0,2362,4663,65.0,85,0.973,Existing Customer,Blue,Graduate,Married
718513233,59,2,M,$120K +,48,1,3,17999.0,1861,4740,16138.0,78,0.103,Existing Customer,Blue,Graduate,Single
718147233,44,1,F,$40K - $60K,31,2,2,4553.0,1538,4999,3015.0,95,0.338,Existing Customer,Blue,High School,Married
713700258,55,1,F,Unknown,42,1,3,2953.0,1896,4644,1057.0,79,0.642,Existing Customer,Blue,Post-Graduate,Married
711438033,57,1,F,Less than $40K,45,1,3,1894.0,0,5750,1894.0,73,0.0,Existing Customer,Blue,Graduate,Married
712253058,48,3,F,Less than $40K,40,1,2,2097.0,1255,4189,842.0,83,0.598,Existing Customer,Blue,High School,Married
713519508,47,4,M,$60K - $80K,36,1,1,1983.0,989,5065,994.0,80,0.499,Existing Customer,Blue,High School,Divorced
789992733,50,1,F,Less than $40K,42,1,1,2210.0,1539,4937,671.0,75,0.696,Existing Customer,Blue,Unknown,Unknown
710110683,52,2,M,$60K - $80K,36,1,1,7879.0,1007,4844,6872.0,83,0.128,Existing Customer,Blue,College,Married
720260433,46,3,F,$40K - $60K,34,2,3,3336.0,1687,5577,1649.0,95,0.506,Existing Customer,Blue,High School,Married
714148758,34,2,F,Less than $40K,27,2,3,1726.0,1398,5228,328.0,68,0.81,Existing Customer,Blue,Post-Graduate,Married
715522233,45,3,F,Less than $40K,27,1,6,2917.0,1523,4878,1394.0,92,0.522,Existing Customer,Blue,Doctorate,Single
714943233,49,2,M,$40K - $60K,31,2,2,1915.0,1545,3911,370.0,80,0.807,Existing Customer,Blue,Doctorate,Married
789579033,43,3,M,$40K - $60K,36,2,3,4878.0,2098,5021,2780.0,84,0.43,Existing Customer,Blue,Graduate,Unknown
708952758,41,3,F,Less than $40K,35,2,1,2066.0,1542,4887,524.0,76,0.746,Existing Customer,Blue,College,Married
721374033,53,1,F,$40K - $60K,39,2,3,2164.0,1115,4341,1049.0,69,0.515,Existing Customer,Blue,High School,Married
808891983,42,5,F,Less than $40K,37,2,3,6250.0,1835,4042,4415.0,60,0.294,Existing Customer,Blue,Graduate,Unknown
794516508,43,3,F,Less than $40K,24,2,2,1484.0,0,4838,1484.0,81,0.0,Existing Customer,Blue,High School,Married
714032883,45,2,M,$40K - $60K,36,1,1,4718.0,1591,4598,3127.0,80,0.337,Existing Customer,Blue,College,Unknown
778722033,44,2,F,Less than $40K,28,2,2,2275.0,1265,5626,1010.0,77,0.556,Existing Customer,Blue,Uneducated,Married
823578483,44,4,F,Less than $40K,40,2,1,1438.3,1169,4429,269.3,78,0.813,Existing Customer,Blue,High School,Single
715148658,51,2,F,Less than $40K,43,1,3,3683.0,1039,4684,2644.0,86,0.282,Existing Customer,Blue,Graduate,Married
709669533,38,1,F,Less than $40K,30,2,3,2722.0,1303,4488,1419.0,88,0.479,Existing Customer,Blue,High School,Divorced
787467858,43,1,M,$80K - $120K,30,1,1,34516.0,2045,4081,32471.0,54,0.059,Existing Customer,Silver,High School,Married
708671733,48,4,M,$60K - $80K,36,2,3,2072.0,1499,4091,573.0,71,0.723,Existing Customer,Blue,Graduate,Married
709790058,53,4,M,$120K +,40,1,1,6383.0,1512,4985,4871.0,87,0.237,Existing Customer,Blue,Graduate,Married
712714008,39,4,F,$40K - $60K,28,2,3,2725.0,2302,4714,423.0,81,0.845,Existing Customer,Blue,Unknown,Married
715191258,47,5,F,Unknown,41,1,2,2675.0,1999,4138,676.0,64,0.747,Existing Customer,Blue,Unknown,Married
757722708,42,3,M,$60K - $80K,35,1,3,1438.3,0,4246,1438.3,83,0.0,Existing Customer,Blue,College,Married
718086783,50,5,M,$120K +,36,2,2,13478.0,0,4738,13478.0,56,0.0,Existing Customer,Blue,Uneducated,Married
815253708,46,2,F,Less than $40K,41,1,2,2841.0,1807,4144,1034.0,73,0.636,Existing Customer,Blue,High School,Divorced
715083633,33,1,F,Less than $40K,23,2,2,1830.0,1777,5271,53.0,76,0.971,Existing Customer,Blue,Uneducated,Married
792098883,37,2,M,$120K +,31,2,1,2360.0,1204,3696,1156.0,82,0.51,Existing Customer,Blue,Doctorate,Single
711873858,43,3,M,$60K - $80K,35,2,3,3717.0,1882,4667,1835.0,91,0.506,Existing Customer,Blue,High School,Married
787591008,42,3,M,$60K - $80K,34,2,1,2289.0,1195,4955,1094.0,83,0.522,Existing Customer,Blue,Uneducated,Divorced
801518958,56,1,F,Unknown,50,2,3,5338.0,0,4139,5338.0,69,0.0,Existing Customer,Blue,Graduate,Married
713068833,44,3,F,Less than $40K,32,2,2,1438.3,894,4687,544.3,85,0.622,Existing Customer,Blue,Uneducated,Single
710566533,40,1,M,$60K - $80K,27,1,3,2276.0,1372,4159,904.0,67,0.603,Existing Customer,Blue,Unknown,Married
789151983,43,4,F,$40K - $60K,31,2,3,4091.0,1108,5244,2983.0,87,0.271,Existing Customer,Blue,Graduate,Unknown
766673433,45,4,M,$80K - $120K,38,2,3,3798.0,1570,4512,2228.0,80,0.413,Existing Customer,Blue,Unknown,Married
807589908,47,5,F,Less than $40K,42,1,2,1778.0,822,4189,956.0,80,0.462,Existing Customer,Blue,Unknown,Married
710090133,62,1,F,Less than $40K,51,1,3,4049.0,1685,3908,2364.0,80,0.416,Existing Customer,Blue,College,Divorced
799242033,45,4,M,$80K - $120K,39,2,3,1438.3,1162,4598,276.3,86,0.808,Existing Customer,Blue,Doctorate,Married
719377383,40,2,M,$60K - $80K,28,1,2,10880.0,2025,4957,8855.0,90,0.186,Existing Customer,Blue,College,Single
710371683,51,4,M,$60K - $80K,36,2,1,3451.0,2006,4097,1445.0,67,0.581,Existing Customer,Blue,Doctorate,Married
719926683,41,3,M,$60K - $80K,33,2,2,20749.0,2171,4754,18578.0,77,0.105,Existing Customer,Blue,High School,Divorced
793597833,49,0,F,Less than $40K,43,1,3,2481.0,1568,4466,913.0,69,0.632,Existing Customer,Blue,Post-Graduate,Single
713739708,61,0,M,$60K - $80K,53,1,3,2415.0,2050,4479,365.0,71,0.849,Existing Customer,Blue,High School,Single
709389558,33,4,F,Less than $40K,36,1,3,1438.3,0,4641,1438.3,85,0.0,Existing Customer,Blue,College,Single
811907583,45,4,F,Unknown,40,1,2,7600.0,1574,4240,6026.0,67,0.207,Existing Customer,Blue,Uneducated,Single
709087983,35,3,F,Less than $40K,27,2,2,1438.3,0,5020,1438.3,94,0.0,Existing Customer,Blue,Doctorate,Single
712774908,41,4,F,Less than $40K,29,2,2,2601.0,1861,5111,740.0,83,0.715,Existing Customer,Blue,High School,Married
820639908,48,4,F,Unknown,44,1,2,2625.0,2517,4378,108.0,81,0.959,Existing Customer,Blue,High School,Married
713497983,49,5,M,$60K - $80K,36,1,2,5578.0,0,3459,5578.0,53,0.0,Existing Customer,Blue,High School,Single
713489358,52,2,F,Less than $40K,40,2,3,3698.0,0,3763,3698.0,82,0.0,Existing Customer,Blue,Graduate,Married
711381183,51,2,F,$40K - $60K,36,2,3,1438.3,1141,4485,297.3,85,0.793,Existing Customer,Blue,Unknown,Married
814989933,45,4,F,Less than $40K,40,1,2,1795.0,1058,5575,737.0,73,0.589,Existing Customer,Blue,College,Unknown
711847833,42,2,F,Less than $40K,32,2,2,1933.0,1127,4833,806.0,71,0.583,Existing Customer,Blue,Graduate,Single
772837083,41,3,M,$120K +,32,2,3,27169.0,0,3906,27169.0,87,0.0,Existing Customer,Blue,Graduate,Married
713652783,30,0,F,Less than $40K,36,1,1,2367.0,1220,5568,1147.0,90,0.515,Existing Customer,Blue,Unknown,Single
719202708,54,3,F,Less than $40K,36,2,2,5642.0,541,4633,5101.0,84,0.096,Existing Customer,Blue,High School,Married
714566133,60,2,F,Less than $40K,36,1,2,3239.0,2356,4621,883.0,91,0.727,Existing Customer,Blue,Graduate,Married
717553683,52,1,F,Less than $40K,36,1,1,3040.0,2517,4608,523.0,61,0.828,Existing Customer,Blue,Unknown,Married
814987983,37,2,F,$40K - $60K,32,2,1,3680.0,683,4835,2997.0,77,0.186,Existing Customer,Blue,College,Single
789588933,44,2,M,$60K - $80K,37,1,1,1787.0,0,3912,1787.0,79,0.0,Existing Customer,Blue,Graduate,Married
714317058,52,2,M,$60K - $80K,36,2,3,4752.0,2437,3946,2315.0,63,0.513,Existing Customer,Blue,Graduate,Married
716366208,45,2,F,Unknown,36,2,1,8103.0,0,5221,8103.0,82,0.0,Existing Customer,Blue,Uneducated,Married
710971908,43,1,M,$60K - $80K,31,2,3,3764.0,1780,4898,1984.0,80,0.473,Existing Customer,Blue,High School,Married
720593583,39,2,F,Less than $40K,32,1,2,3554.0,747,5152,2807.0,90,0.21,Existing Customer,Blue,Doctorate,Divorced
720165258,44,2,F,Less than $40K,29,2,3,3170.0,2330,5357,840.0,91,0.735,Existing Customer,Blue,High School,Unknown
716147658,49,2,F,Unknown,40,2,3,2464.0,1601,4739,863.0,86,0.65,Existing Customer,Blue,Uneducated,Single
778436283,41,4,M,Less than $40K,21,2,3,3429.0,1504,4015,1925.0,76,0.439,Existing Customer,Blue,High School,Single
711492258,50,2,M,$60K - $80K,45,2,1,2021.0,1578,5298,443.0,71,0.781,Existing Customer,Blue,Graduate,Married
771106458,54,4,F,Less than $40K,41,1,5,2444.0,1313,4609,1131.0,61,0.537,Existing Customer,Blue,College,Married
713183508,39,1,F,Unknown,36,1,3,2751.0,1158,4861,1593.0,82,0.421,Existing Customer,Blue,High School,Married
710832108,52,2,F,$40K - $60K,44,2,3,9017.0,2359,4552,6658.0,81,0.262,Existing Customer,Blue,Unknown,Single
719940483,51,1,F,$40K - $60K,43,2,2,2107.0,1663,4841,444.0,88,0.789,Existing Customer,Blue,Graduate,Married
715207458,46,1,F,Less than $40K,39,2,2,2029.0,1074,4802,955.0,90,0.529,Existing Customer,Blue,Unknown,Single
716839983,48,3,M,$120K +,36,2,3,32777.0,0,4520,32777.0,75,0.0,Existing Customer,Blue,College,Married
781073733,50,2,M,$120K +,41,1,3,4607.0,0,4793,4607.0,88,0.0,Existing Customer,Blue,Graduate,Married
757594083,52,1,F,Unknown,45,2,4,23486.0,0,4530,23486.0,74,0.0,Existing Customer,Blue,Unknown,Married
764496708,54,2,F,Unknown,47,2,3,1997.0,0,4961,1997.0,82,0.0,Existing Customer,Blue,High School,Married
714080433,40,5,F,$40K - $60K,36,2,3,3144.0,1787,4758,1357.0,67,0.568,Existing Customer,Blue,College,Married
757675158,47,4,F,$40K - $60K,40,2,2,2725.0,1851,4904,874.0,85,0.679,Existing Customer,Blue,Post-Graduate,Divorced
715361433,53,2,F,Less than $40K,36,2,2,1874.0,994,4194,880.0,78,0.53,Existing Customer,Blue,High School,Single
718792758,35,4,F,Unknown,25,2,3,3379.0,587,5121,2792.0,80,0.174,Existing Customer,Blue,Uneducated,Married
709738008,48,3,F,$40K - $60K,36,1,6,2804.0,1057,5033,1747.0,81,0.377,Existing Customer,Blue,Unknown,Married
799020258,44,2,M,$60K - $80K,38,2,1,16553.0,0,4797,16553.0,82,0.0,Existing Customer,Blue,Uneducated,Divorced
716324583,42,4,F,Unknown,36,1,4,2875.0,1892,4577,983.0,81,0.658,Existing Customer,Blue,Uneducated,Single
720887058,51,1,F,Unknown,35,1,2,3668.0,0,4753,3668.0,87,0.0,Existing Customer,Blue,Unknown,Married
714825408,45,3,F,$40K - $60K,36,2,3,2853.0,2517,4971,336.0,65,0.882,Existing Customer,Blue,High School,Single
788620083,50,3,F,Less than $40K,41,2,2,2382.0,1419,4563,963.0,89,0.596,Existing Customer,Blue,Graduate,Single
719490108,54,3,F,Less than $40K,36,1,3,2830.0,1779,4854,1051.0,74,0.629,Existing Customer,Blue,Graduate,Single
709044183,47,3,F,Unknown,27,1,3,24987.0,824,3995,24163.0,64,0.033,Existing Customer,Blue,Unknown,Married
